ID,Age,Gender,Skin_Type,Skin_Concerns,Products_Used,Usage_Frequency,Brand_Preference,Derm_Recommendation,Location
23,38,Male,Combination,"['Acne', 'Pigmentation', 'Wrinkles']","['Cleanser', 'Vitamin C']",Daily,"['Plum', 'Cetaphil']",Balance T-zone with lightweight products. Add niacinamide or benzoyl peroxide. Use vitamin C serum daily. Include retinol at night.,Urban
24,24,Male,Combination,"['Blackheads', 'Wrinkles', 'Acne']","['Vitamin C', 'Retinol']",Alternate Days,['Minimalist'],Balance T-zone with lightweight products. Use BHA exfoliant twice weekly. Include retinol at night. Add niacinamide or benzoyl peroxide.,Rural
25,32,Female,Dry,"['Blackheads', 'Dark spots', 'Dryness']","['Cleanser', 'Exfoliator']",Daily,"['Minimalist', 'Plum', 'Cetaphil']",Use hydrating cleanser and thick moisturizer. Use BHA exfoliant twice weekly. Niacinamide and sunscreen are key. Layer with hyaluronic acid serum.,Urban
26,36,Male,Oily,"['Wrinkles', 'Acne']","['Moisturizer', 'Vitamin C', 'Exfoliator', 'Cleanser']",Alternate Days,"['Biotique', 'Nivea', 'Cetaphil']",Use salicylic acid cleanser and oil-free moisturizer. Include retinol at night. Add niacinamide or benzoyl peroxide.,Urban
27,46,Male,Dry,"['Acne', 'Pigmentation']","['Exfoliator', 'Retinol', 'Moisturizer', 'Sunscreen']",Daily,"['Minimalist', 'Nivea', 'Biotique']",Use hydrating cleanser and thick moisturizer. Add niacinamide or benzoyl peroxide. Use vitamin C serum daily.,Rural
28,44,Male,Sensitive,"['Wrinkles', 'Pigmentation']","['Cleanser', 'Vitamin C', 'Moisturizer']",Weekly,"['Plum', 'Minimalist']","Use fragrance-free, gentle products only. Include retinol at night. Use vitamin C serum daily.",Rural
29,25,Female,Combination,['Acne'],"['Moisturizer', 'Niacinamide', 'Sunscreen', 'Cleanser']",Daily,"['Nivea', 'Plum', 'Himalaya']",Balance T-zone with lightweight products. Add niacinamide or benzoyl peroxide.,Rural
30,46,Male,Sensitive,"['Pigmentation', 'Wrinkles', 'Acne']","['Cleanser', 'Niacinamide', 'Vitamin C', 'Moisturizer', 'Retinol']",Weekly,['Himalaya'],"Use fragrance-free, gentle products only. Use vitamin C serum daily. Include retinol at night. Add niacinamide or benzoyl peroxide.",Rural
31,21,Male,Combination,"['Wrinkles', 'Uneven tone', 'Blackheads']","['Retinol', 'Vitamin C', 'Sunscreen', 'Moisturizer']",Daily,"['Himalaya', 'Nivea']",Balance T-zone with lightweight products. Include retinol at night. Try AHAs and vitamin C. Use BHA exfoliant twice weekly.,Urban
32,52,Female,Sensitive,"['Dryness', 'Acne', 'Wrinkles']","['Moisturizer', 'Retinol', 'Niacinamide', 'Sunscreen']",Weekly,"['Nivea', 'Himalaya']","Use fragrance-free, gentle products only. Layer with hyaluronic acid serum. Add niacinamide or benzoyl peroxide. Include retinol at night.",Urban
33,46,Female,Dry,"['Acne', 'Wrinkles', 'Dark spots']","['Cleanser', 'Moisturizer', 'Sunscreen', 'Vitamin C']",Daily,['Minimalist'],Use hydrating cleanser and thick moisturizer. Add niacinamide or benzoyl peroxide. Include retinol at night. Niacinamide and sunscreen are key.,Urban
34,47,Female,Oily,"['Blackheads', 'Uneven tone']","['Vitamin C', 'Exfoliator', 'Retinol']",Weekly,"['Mamaearth', 'Biotique']",Use salicylic acid cleanser and oil-free moisturizer. Use BHA exfoliant twice weekly. Try AHAs and vitamin C.,Urban
35,29,Female,Dry,['Dryness'],"['Cleanser', 'Niacinamide', 'Moisturizer', 'Exfoliator', 'Vitamin C']",Daily,"['Himalaya', 'Cetaphil']",Use hydrating cleanser and thick moisturizer. Layer with hyaluronic acid serum.,Rural
36,37,Female,Sensitive,['Uneven tone'],"['Retinol', 'Sunscreen', 'Moisturizer', 'Vitamin C', 'Exfoliator']",Weekly,"['Mamaearth', 'Plum', 'Nivea']","Use fragrance-free, gentle products only. Try AHAs and vitamin C.",Urban
37,17,Male,Combination,"['Wrinkles', 'Dark spots']","['Moisturizer', 'Exfoliator']",Daily,"['Himalaya', 'Mamaearth']",Balance T-zone with lightweight products. Include retinol at night. Niacinamide and sunscreen are key.,Urban
38,24,Female,Sensitive,"['Dark spots', 'Blackheads']","['Cleanser', 'Moisturizer', 'Retinol', 'Niacinamide', 'Sunscreen']",Daily,"['Nivea', 'Biotique', 'Minimalist']","Use fragrance-free, gentle products only. Niacinamide and sunscreen are key. Use BHA exfoliant twice weekly.",Rural
39,19,Female,Sensitive,"['Uneven tone', 'Dryness', 'Dark spots']","['Retinol', 'Moisturizer', 'Sunscreen']",Weekly,"['Minimalist', 'Nivea']","Use fragrance-free, gentle products only. Try AHAs and vitamin C. Layer with hyaluronic acid serum. Niacinamide and sunscreen are key.",Rural
40,32,Male,Sensitive,['Dark spots'],"['Retinol', 'Niacinamide']",Daily,['Himalaya'],"Use fragrance-free, gentle products only. Niacinamide and sunscreen are key.",Rural
41,33,Female,Dry,['Wrinkles'],"['Sunscreen', 'Moisturizer', 'Retinol', 'Exfoliator', 'Vitamin C']",Weekly,"['Biotique', 'Nivea']",Use hydrating cleanser and thick moisturizer. Include retinol at night.,Rural
42,26,Female,Oily,"['Dark spots', 'Acne', 'Wrinkles']","['Vitamin C', 'Cleanser', 'Exfoliator']",Daily,['Mamaearth'],Use salicylic acid cleanser and oil-free moisturizer. Niacinamide and sunscreen are key. Add niacinamide or benzoyl peroxide. Include retinol at night.,Urban
43,35,Male,Dry,"['Uneven tone', 'Acne']","['Retinol', 'Vitamin C', 'Sunscreen']",Alternate Days,['Cetaphil'],Use hydrating cleanser and thick moisturizer. Try AHAs and vitamin C. Add niacinamide or benzoyl peroxide.,Urban
44,36,Female,Oily,"['Acne', 'Wrinkles', 'Dark spots']","['Retinol', 'Vitamin C', 'Moisturizer', 'Cleanser', 'Sunscreen']",Daily,['Himalaya'],Use salicylic acid cleanser and oil-free moisturizer. Add niacinamide or benzoyl peroxide. Include retinol at night. Niacinamide and sunscreen are key.,Rural
45,31,Male,Combination,"['Blackheads', 'Uneven tone', 'Wrinkles']","['Niacinamide', 'Vitamin C']",Alternate Days,['Biotique'],Balance T-zone with lightweight products. Use BHA exfoliant twice weekly. Try AHAs and vitamin C. Include retinol at night.,Rural
46,43,Male,Sensitive,"['Uneven tone', 'Blackheads']","['Retinol', 'Moisturizer', 'Niacinamide']",Alternate Days,"['Biotique', 'Cetaphil', 'Nivea']","Use fragrance-free, gentle products only. Try AHAs and vitamin C. Use BHA exfoliant twice weekly.",Rural
47,36,Female,Combination,['Dryness'],"['Sunscreen', 'Retinol']",Daily,"['Cetaphil', 'Biotique']",Balance T-zone with lightweight products. Layer with hyaluronic acid serum.,Rural
48,24,Male,Sensitive,"['Pigmentation', 'Blackheads']","['Sunscreen', 'Exfoliator', 'Vitamin C']",Alternate Days,"['Himalaya', 'Plum', 'Cetaphil']","Use fragrance-free, gentle products only. Use vitamin C serum daily. Use BHA exfoliant twice weekly.",Urban
49,47,Male,Oily,['Uneven tone'],"['Retinol', 'Niacinamide', 'Moisturizer', 'Exfoliator', 'Sunscreen']",Weekly,"['Biotique', 'Minimalist']",Use salicylic acid cleanser and oil-free moisturizer. Try AHAs and vitamin C.,Urban
50,18,Male,Sensitive,"['Pigmentation', 'Wrinkles', 'Dark spots']","['Retinol', 'Niacinamide', 'Vitamin C', 'Sunscreen']",Weekly,"['Cetaphil', 'Plum', 'Himalaya']","Use fragrance-free, gentle products only. Use vitamin C serum daily. Include retinol at night. Niacinamide and sunscreen are key.",Rural
51,50,Female,Combination,['Acne'],"['Sunscreen', 'Cleanser', 'Niacinamide']",Daily,['Mamaearth'],Balance T-zone with lightweight products. Add niacinamide or benzoyl peroxide.,Rural
52,16,Female,Oily,['Wrinkles'],"['Sunscreen', 'Moisturizer', 'Exfoliator']",Daily,"['Cetaphil', 'Mamaearth', 'Plum']",Use salicylic acid cleanser and oil-free moisturizer. Include retinol at night.,Urban
53,22,Female,Dry,"['Dryness', 'Blackheads', 'Acne']","['Niacinamide', 'Sunscreen']",Weekly,"['Nivea', 'Plum']",Use hydrating cleanser and thick moisturizer. Layer with hyaluronic acid serum. Use BHA exfoliant twice weekly. Add niacinamide or benzoyl peroxide.,Urban
54,22,Female,Sensitive,['Dryness'],"['Retinol', 'Exfoliator']",Daily,"['Himalaya', 'Biotique', 'Minimalist']","Use fragrance-free, gentle products only. Layer with hyaluronic acid serum.",Urban
55,35,Female,Oily,['Acne'],"['Niacinamide', 'Exfoliator', 'Vitamin C', 'Moisturizer', 'Sunscreen']",Weekly,"['Nivea', 'Plum']",Use salicylic acid cleanser and oil-free moisturizer. Add niacinamide or benzoyl peroxide.,Rural
56,20,Male,Oily,['Uneven tone'],"['Sunscreen', 'Vitamin C', 'Cleanser']",Daily,['Mamaearth'],Use salicylic acid cleanser and oil-free moisturizer. Try AHAs and vitamin C.,Urban
57,36,Male,Sensitive,"['Uneven tone', 'Dark spots']","['Sunscreen', 'Cleanser', 'Moisturizer', 'Exfoliator', 'Retinol']",Alternate Days,"['Biotique', 'Nivea', 'Minimalist']","Use fragrance-free, gentle products only. Try AHAs and vitamin C. Niacinamide and sunscreen are key.",Urban
58,49,Male,Sensitive,['Dark spots'],"['Vitamin C', 'Moisturizer', 'Sunscreen']",Daily,['Minimalist'],"Use fragrance-free, gentle products only. Niacinamide and sunscreen are key.",Urban
59,20,Female,Sensitive,['Blackheads'],"['Vitamin C', 'Retinol', 'Sunscreen', 'Exfoliator']",Weekly,['Cetaphil'],"Use fragrance-free, gentle products only. Use BHA exfoliant twice weekly.",Urban
60,36,Female,Combination,['Acne'],"['Vitamin C', 'Niacinamide', 'Exfoliator']",Daily,"['Biotique', 'Plum', 'Cetaphil']",Balance T-zone with lightweight products. Add niacinamide or benzoyl peroxide.,Urban
61,38,Female,Sensitive,"['Pigmentation', 'Dark spots']","['Vitamin C', 'Retinol', 'Cleanser', 'Exfoliator', 'Moisturizer']",Weekly,"['Plum', 'Himalaya']","Use fragrance-free, gentle products only. Use vitamin C serum daily. Niacinamide and sunscreen are key.",Urban
62,36,Female,Sensitive,"['Blackheads', 'Wrinkles', 'Dryness']","['Retinol', 'Cleanser']",Alternate Days,"['Plum', 'Minimalist']","Use fragrance-free, gentle products only. Use BHA exfoliant twice weekly. Include retinol at night. Layer with hyaluronic acid serum.",Rural
63,46,Male,Sensitive,"['Acne', 'Pigmentation']","['Niacinamide', 'Retinol', 'Vitamin C', 'Cleanser']",Daily,"['Cetaphil', 'Mamaearth']","Use fragrance-free, gentle products only. Add niacinamide or benzoyl peroxide. Use vitamin C serum daily.",Rural
64,37,Female,Oily,['Uneven tone'],"['Vitamin C', 'Moisturizer', 'Sunscreen']",Daily,"['Nivea', 'Minimalist', 'Mamaearth']",Use salicylic acid cleanser and oil-free moisturizer. Try AHAs and vitamin C.,Urban
65,40,Male,Dry,"['Uneven tone', 'Wrinkles']","['Retinol', 'Exfoliator', 'Vitamin C', 'Moisturizer']",Weekly,"['Mamaearth', 'Nivea', 'Biotique']",Use hydrating cleanser and thick moisturizer. Try AHAs and vitamin C. Include retinol at night.,Urban
66,24,Female,Sensitive,"['Dryness', 'Dark spots']","['Exfoliator', 'Cleanser', 'Sunscreen', 'Niacinamide']",Weekly,['Nivea'],"Use fragrance-free, gentle products only. Layer with hyaluronic acid serum. Niacinamide and sunscreen are key.",Rural
67,25,Female,Sensitive,"['Wrinkles', 'Pigmentation']","['Niacinamide', 'Retinol', 'Moisturizer']",Weekly,['Plum'],"Use fragrance-free, gentle products only. Include retinol at night. Use vitamin C serum daily.",Rural
68,29,Female,Dry,"['Acne', 'Pigmentation']","['Exfoliator', 'Cleanser', 'Retinol', 'Vitamin C']",Weekly,['Himalaya'],Use hydrating cleanser and thick moisturizer. Add niacinamide or benzoyl peroxide. Use vitamin C serum daily.,Urban
69,33,Male,Oily,"['Dryness', 'Wrinkles']","['Niacinamide', 'Vitamin C', 'Retinol', 'Cleanser']",Alternate Days,"['Biotique', 'Cetaphil', 'Nivea']",Use salicylic acid cleanser and oil-free moisturizer. Layer with hyaluronic acid serum. Include retinol at night.,Rural
70,43,Male,Oily,['Uneven tone'],"['Moisturizer', 'Vitamin C', 'Cleanser', 'Retinol']",Daily,"['Himalaya', 'Minimalist', 'Nivea']",Use salicylic acid cleanser and oil-free moisturizer. Try AHAs and vitamin C.,Urban
71,19,Male,Oily,"['Dryness', 'Acne']","['Sunscreen', 'Exfoliator', 'Retinol', 'Moisturizer']",Daily,"['Nivea', 'Cetaphil', 'Mamaearth']",Use salicylic acid cleanser and oil-free moisturizer. Layer with hyaluronic acid serum. Add niacinamide or benzoyl peroxide.,Urban
72,38,Male,Sensitive,"['Uneven tone', 'Pigmentation', 'Blackheads']","['Moisturizer', 'Retinol', 'Sunscreen']",Weekly,"['Himalaya', 'Minimalist']","Use fragrance-free, gentle products only. Try AHAs and vitamin C. Use vitamin C serum daily. Use BHA exfoliant twice weekly.",Rural
73,17,Male,Oily,"['Wrinkles', 'Dark spots']","['Vitamin C', 'Retinol', 'Sunscreen', 'Exfoliator']",Alternate Days,['Nivea'],Use salicylic acid cleanser and oil-free moisturizer. Include retinol at night. Niacinamide and sunscreen are key.,Rural
74,29,Male,Sensitive,"['Wrinkles', 'Dark spots', 'Dryness']","['Cleanser', 'Vitamin C', 'Retinol', 'Sunscreen']",Daily,"['Biotique', 'Himalaya', 'Minimalist']","Use fragrance-free, gentle products only. Include retinol at night. Niacinamide and sunscreen are key. Layer with hyaluronic acid serum.",Rural
75,17,Male,Combination,['Uneven tone'],"['Niacinamide', 'Sunscreen', 'Moisturizer']",Daily,"['Himalaya', 'Minimalist', 'Plum']",Balance T-zone with lightweight products. Try AHAs and vitamin C.,Rural
76,20,Female,Dry,['Wrinkles'],"['Vitamin C', 'Retinol', 'Moisturizer', 'Niacinamide']",Daily,"['Plum', 'Cetaphil', 'Himalaya']",Use hydrating cleanser and thick moisturizer. Include retinol at night.,Rural
77,37,Female,Sensitive,"['Uneven tone', 'Wrinkles']","['Retinol', 'Cleanser']",Daily,['Biotique'],"Use fragrance-free, gentle products only. Try AHAs and vitamin C. Include retinol at night.",Rural
78,61,Female,Oily,"['Acne', 'Wrinkles']","['Retinol', 'Sunscreen']",Alternate Days,"['Nivea', 'Himalaya', 'Plum']",Use salicylic acid cleanser and oil-free moisturizer. Add niacinamide or benzoyl peroxide. Include retinol at night.,Urban
79,45,Female,Oily,"['Dark spots', 'Wrinkles', 'Dryness']","['Vitamin C', 'Cleanser', 'Retinol']",Alternate Days,"['Nivea', 'Minimalist', 'Mamaearth']",Use salicylic acid cleanser and oil-free moisturizer. Niacinamide and sunscreen are key. Include retinol at night. Layer with hyaluronic acid serum.,Urban
80,20,Female,Sensitive,['Acne'],"['Niacinamide', 'Moisturizer', 'Retinol']",Weekly,"['Himalaya', 'Biotique']","Use fragrance-free, gentle products only. Add niacinamide or benzoyl peroxide.",Rural
81,65,Male,Sensitive,"['Acne', 'Blackheads', 'Dark spots']","['Sunscreen', 'Cleanser', 'Exfoliator', 'Moisturizer', 'Retinol']",Weekly,['Biotique'],"Use fragrance-free, gentle products only. Add niacinamide or benzoyl peroxide. Use BHA exfoliant twice weekly. Niacinamide and sunscreen are key.",Rural
82,28,Female,Combination,['Blackheads'],"['Moisturizer', 'Cleanser', 'Retinol', 'Vitamin C']",Daily,"['Himalaya', 'Cetaphil', 'Minimalist']",Balance T-zone with lightweight products. Use BHA exfoliant twice weekly.,Urban
83,23,Male,Dry,"['Pigmentation', 'Acne', 'Dark spots']","['Niacinamide', 'Moisturizer', 'Vitamin C']",Alternate Days,['Biotique'],Use hydrating cleanser and thick moisturizer. Use vitamin C serum daily. Add niacinamide or benzoyl peroxide. Niacinamide and sunscreen are key.,Urban
84,16,Male,Dry,"['Wrinkles', 'Pigmentation', 'Acne']","['Moisturizer', 'Cleanser']",Alternate Days,['Cetaphil'],Use hydrating cleanser and thick moisturizer. Include retinol at night. Use vitamin C serum daily. Add niacinamide or benzoyl peroxide.,Rural
85,18,Male,Combination,['Pigmentation'],"['Niacinamide', 'Cleanser', 'Vitamin C', 'Retinol', 'Moisturizer']",Alternate Days,"['Cetaphil', 'Minimalist', 'Nivea']",Balance T-zone with lightweight products. Use vitamin C serum daily.,Urban
86,21,Female,Sensitive,"['Acne', 'Dryness', 'Blackheads']","['Retinol', 'Vitamin C', 'Cleanser', 'Exfoliator', 'Sunscreen']",Weekly,['Minimalist'],"Use fragrance-free, gentle products only. Add niacinamide or benzoyl peroxide. Layer with hyaluronic acid serum. Use BHA exfoliant twice weekly.",Rural
87,34,Male,Dry,"['Dark spots', 'Uneven tone']","['Retinol', 'Niacinamide', 'Vitamin C', 'Sunscreen']",Weekly,"['Cetaphil', 'Nivea', 'Minimalist']",Use hydrating cleanser and thick moisturizer. Niacinamide and sunscreen are key. Try AHAs and vitamin C.,Urban
88,60,Male,Sensitive,"['Pigmentation', 'Blackheads']","['Exfoliator', 'Retinol', 'Vitamin C', 'Niacinamide']",Daily,"['Nivea', 'Plum']","Use fragrance-free, gentle products only. Use vitamin C serum daily. Use BHA exfoliant twice weekly.",Rural
89,28,Male,Sensitive,['Acne'],"['Cleanser', 'Retinol']",Daily,"['Himalaya', 'Plum', 'Mamaearth']","Use fragrance-free, gentle products only. Add niacinamide or benzoyl peroxide.",Urban
90,65,Female,Oily,"['Wrinkles', 'Uneven tone']","['Exfoliator', 'Vitamin C', 'Cleanser', 'Sunscreen', 'Retinol']",Alternate Days,"['Minimalist', 'Cetaphil']",Use salicylic acid cleanser and oil-free moisturizer. Include retinol at night. Try AHAs and vitamin C.,Urban
91,35,Female,Dry,['Wrinkles'],"['Cleanser', 'Sunscreen', 'Niacinamide', 'Moisturizer']",Weekly,"['Biotique', 'Cetaphil', 'Himalaya']",Use hydrating cleanser and thick moisturizer. Include retinol at night.,Urban
92,50,Male,Dry,"['Uneven tone', 'Wrinkles']","['Sunscreen', 'Cleanser', 'Moisturizer', 'Niacinamide']",Weekly,['Mamaearth'],Use hydrating cleanser and thick moisturizer. Try AHAs and vitamin C. Include retinol at night.,Urban
93,27,Male,Sensitive,"['Blackheads', 'Wrinkles']","['Sunscreen', 'Exfoliator', 'Vitamin C']",Daily,['Mamaearth'],"Use fragrance-free, gentle products only. Use BHA exfoliant twice weekly. Include retinol at night.",Urban
94,22,Male,Combination,"['Uneven tone', 'Blackheads']","['Niacinamide', 'Retinol', 'Vitamin C', 'Sunscreen', 'Cleanser']",Daily,"['Nivea', 'Minimalist']",Balance T-zone with lightweight products. Try AHAs and vitamin C. Use BHA exfoliant twice weekly.,Rural
95,25,Female,Combination,['Pigmentation'],"['Niacinamide', 'Cleanser', 'Vitamin C', 'Moisturizer', 'Retinol']",Daily,['Biotique'],Balance T-zone with lightweight products. Use vitamin C serum daily.,Rural
96,18,Female,Oily,['Blackheads'],"['Moisturizer', 'Exfoliator', 'Retinol', 'Vitamin C', 'Sunscreen']",Alternate Days,['Nivea'],Use salicylic acid cleanser and oil-free moisturizer. Use BHA exfoliant twice weekly.,Urban
97,36,Male,Sensitive,['Dryness'],"['Niacinamide', 'Retinol', 'Exfoliator', 'Vitamin C']",Weekly,"['Minimalist', 'Nivea']","Use fragrance-free, gentle products only. Layer with hyaluronic acid serum.",Urban
98,22,Male,Sensitive,"['Wrinkles', 'Acne', 'Blackheads']","['Moisturizer', 'Retinol']",Weekly,"['Minimalist', 'Nivea', 'Plum']","Use fragrance-free, gentle products only. Include retinol at night. Add niacinamide or benzoyl peroxide. Use BHA exfoliant twice weekly.",Rural
99,44,Female,Dry,['Dark spots'],"['Niacinamide', 'Exfoliator']",Daily,"['Plum', 'Himalaya']",Use hydrating cleanser and thick moisturizer. Niacinamide and sunscreen are key.,Urban
100,26,Male,Dry,"['Pigmentation', 'Dryness']","['Exfoliator', 'Vitamin C', 'Cleanser']",Daily,"['Nivea', 'Biotique', 'Cetaphil']",Use hydrating cleanser and thick moisturizer. Use vitamin C serum daily. Layer with hyaluronic acid serum.,Rural
101,32,Female,Combination,['Blackheads'],"['Retinol', 'Exfoliator']",Alternate Days,"['Cetaphil', 'Minimalist']",Balance T-zone with lightweight products. Use BHA exfoliant twice weekly.,Rural
102,35,Male,Combination,"['Blackheads', 'Acne']","['Sunscreen', 'Exfoliator']",Daily,"['Biotique', 'Minimalist', 'Cetaphil']",Balance T-zone with lightweight products. Use BHA exfoliant twice weekly. Add niacinamide or benzoyl peroxide.,Rural
103,40,Male,Sensitive,"['Uneven tone', 'Pigmentation', 'Wrinkles']","['Niacinamide', 'Moisturizer', 'Cleanser', 'Retinol', 'Exfoliator']",Alternate Days,"['Minimalist', 'Cetaphil', 'Mamaearth']","Use fragrance-free, gentle products only. Try AHAs and vitamin C. Use vitamin C serum daily. Include retinol at night.",Urban
104,47,Female,Sensitive,"['Dark spots', 'Dryness', 'Pigmentation']","['Sunscreen', 'Exfoliator', 'Retinol', 'Niacinamide']",Alternate Days,"['Cetaphil', 'Minimalist', 'Plum']","Use fragrance-free, gentle products only. Niacinamide and sunscreen are key. Layer with hyaluronic acid serum. Use vitamin C serum daily.",Urban
105,23,Male,Sensitive,"['Wrinkles', 'Uneven tone']","['Sunscreen', 'Cleanser', 'Niacinamide']",Daily,"['Plum', 'Himalaya']","Use fragrance-free, gentle products only. Include retinol at night. Try AHAs and vitamin C.",Rural
106,32,Male,Combination,"['Blackheads', 'Uneven tone', 'Wrinkles']","['Vitamin C', 'Exfoliator', 'Niacinamide']",Daily,"['Himalaya', 'Nivea', 'Cetaphil']",Balance T-zone with lightweight products. Use BHA exfoliant twice weekly. Try AHAs and vitamin C. Include retinol at night.,Rural
107,18,Female,Combination,['Pigmentation'],"['Exfoliator', 'Retinol', 'Moisturizer', 'Niacinamide']",Daily,['Minimalist'],Balance T-zone with lightweight products. Use vitamin C serum daily.,Rural
